Country;1994;1996;1998;2000;2002;2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;Comments
Austria;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;11;NA;15;8;20;
Belarus;8;NA;NA;NA;NA;NA;NA;15;NA;NA;12;10;10;10;17;
Bosnia and Herzegovina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23;23;Was a part of Yugoslavia until 1992 when it gained independence
Croatia;3;5;8;6;16;4;4;2;2;3;4;3;5;2;8;Was a part of Yugoslavia until 1991 when it gained independence
Czech Republic;NA;6;10;NA;8;11;NA;13;8;14;15;NA;6;12;13;
Denmark;4;12;NA;10;3;3;3;1;5;1;2;6;4;13;3;
France;6;7;7;4;6;6;1;3;1;11;1;5;3;14;4;
Germany;9;8;3;9;2;1;5;4;10;7;NA;1;9;5;7;
Hungary;7;10;6;NA;NA;9;13;8;14;8;8;12;14;9;15;
Iceland;NA;NA;NA;11;4;13;7;11;3;10;5;13;13;11;6;
Israel;NA;NA;NA;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Italy;NA;NA;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Latvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24;NA;
Lithuania;NA;NA;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;
Montenegro;NA;NA;NA;NA;NA;NA;NA;12;NA;NA;16;16;16;18;11;Was a part of Yugoslavia until 2006 when it gained independence, then competed in a union with Serbia until 2008
Netherlands;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;10;
North Macedonia;NA;NA;12;NA;NA;NA;NA;NA;NA;5;10;11;11;15;22;
Norway;NA;NA;NA;8;NA;NA;11;6;7;13;14;4;7;3;5;
Poland;NA;NA;NA;NA;15;16;10;7;4;9;6;7;NA;21;12;
Portugal;12;NA;NA;7;9;14;15;NA;NA;NA;NA;NA;NA;6;19;
Romania;11;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Russia;2;1;4;2;5;5;6;14;12;15;9;9;NA;22;9;
Serbia;NA;NA;NA;NA;NA;NA;NA;NA;13;2;13;15;12;20;14;Was a part of Yugoslavia until 2006 when it gained independence, then competed in a union with Montenegro until 2008
Slovakia;NA;NA;NA;NA;NA;NA;16;16;NA;16;NA;NA;NA;NA;18;
Slovenia;10;11;NA;5;12;2;8;10;11;6;NA;14;8;4;16;
Spain;5;2;2;3;7;10;2;9;6;4;3;2;1;1;2;
Sweden;1;4;1;1;1;7;NA;5;15;12;7;8;2;7;1;
Switzerland;NA;NA;NA;NA;13;12;14;NA;NA;NA;NA;NA;NA;16;NA;
Ukraine;NA;NA;NA;12;11;15;12;NA;16;NA;NA;NA;NA;19;24;
Serbia and Montenegro;NA;NA;NA;NA;NA;8;9;NA;NA;NA;NA;NA;NA;NA;NA;Competed as FR Yugoslavia before 2004 and seperately after 2006
Yugoslavia;NA;3;5;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Existed in different versions, but ceased to exist in 2006
