Country;1936;1972;1976;1980;1984;1988;1992;1996;2000;2004;2008;2012;2016;2020;Comments
Algeria;NA;NA;NA;10;12;10;NA;10;NA;NA;NA;NA;NA;NA;
Argentina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;10;12;
Australia;NA;NA;NA;NA;NA;NA;NA;NA;12;NA;NA;NA;NA;NA;
Austria;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Bahrain;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;
Brazil;NA;NA;NA;NA;NA;NA;12;11;NA;10;11;NA;7;10;
Canada;NA;NA;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
China;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;NA;NA;NA;
Croatia;NA;NA;NA;NA;NA;NA;NA;1;NA;1;4;3;5;NA;Was a part of Yugoslavia until 1991 when it gained independence
Cuba;NA;NA;NA;11;NA;NA;NA;NA;11;NA;NA;NA;NA;NA;
Czechoslovakia;NA;2;7;NA;NA;6;9;NA;NA;NA;NA;NA;NA;NA;Compete as Slovakia and Czech Republic after 1993
Denmark;NA;13;8;9;4;NA;NA;NA;NA;NA;7;6;1;2;
Egypt;NA;NA;NA;NA;NA;NA;11;6;7;12;10;NA;9;4;
Federal Republic of Germany;NA;6;4;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;Competed as a part of Germany until 1964 and then again from 1990 onwards
France;NA;NA;NA;NA;NA;NA;3;4;6;5;1;1;2;1;
German Democratic Republic;NA;4;NA;1;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;Competed as a part of Germany until 1964 and then again from 1993 onwards
Germany;1;NA;NA;NA;NA;NA;10;7;5;2;9;NA;3;6;Was split into The Federal Republic of Germany and the German Democratic Republic for a while
Great Britain;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;NA;NA;
Greece;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;NA;NA;NA;
Hungary;4;8;6;4;NA;4;7;NA;NA;4;NA;4;NA;NA;
Iceland;NA;12;NA;NA;6;8;4;NA;NA;9;2;5;NA;NA;
Japan;NA;11;9;NA;10;11;NA;NA;NA;NA;NA;NA;NA;11;
Korea;NA;NA;NA;NA;11;2;6;NA;9;8;8;11;NA;NA;
Kuwait;NA;NA;NA;12;NA;NA;NA;12;NA;NA;NA;NA;NA;NA;
Norway;NA;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;
Poland;NA;10;3;7;NA;NA;NA;NA;NA;NA;5;NA;4;NA;
Portugal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;
Qatar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;
Romania;5;3;2;3;3;NA;8;NA;NA;NA;NA;NA;NA;NA;
Russia;NA;NA;NA;NA;NA;NA;NA;5;1;3;6;NA;NA;NA;Was a part of the Soviet Union until 1991 when it gained independence
Serbia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;NA;Was a part of Yugoslavia until 2006 when it gained independence, then competed in a union with Montenegro until 2008
Serbia and Montengro;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;Competed as FR Yugoslavia before 2004 and seperately after 2006
Slovenia;NA;NA;NA;NA;NA;NA;NA;NA;8;11;NA;NA;6;NA;Was a part of Yugoslavia until 1991 when it gained independence
Soviet Union;NA;5;1;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;Ceased to exist in 1991
Spain;NA;15;NA;5;8;9;5;3;3;7;3;7;NA;3;
Sweden;NA;7;NA;NA;5;5;2;2;2;NA;NA;2;11;5;
Switzerland;3;NA;NA;8;7;NA;NA;8;NA;NA;NA;NA;NA;NA;
Tunisia;NA;16;12;NA;NA;NA;NA;NA;10;NA;NA;8;12;NA;
Unified Team;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;A unified team consisting of former Soviet Union members competing together as one
United States of America;6;14;10;NA;9;12;NA;9;NA;NA;NA;NA;NA;NA;
Yugoslavia;NA;1;5;6;1;3;NA;NA;NA;NA;NA;NA;NA;NA;Existed in different versions, but ceased to exist in 2006
