Country;1938;1954;1958;1961;1964;1967;1970;1974;1978;1982;1986;1990;1993;1995;1997;1999;2001;2003;2005;2007;2009;2011;2013;2015;2017;2019;2021;Comments
Algeria;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;16;16;NA;16;17;15;13;18;17;NA;19;15;17;24;NA;NA;22;
Angola;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;21;NA;NA;NA;NA;24;23;30;
Argentina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;21;15;17;18;16;18;12;18;12;18;17;11;
Australia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24;NA;21;24;24;24;24;24;NA;NA;NA;NA;
Austria;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;18;NA;13;NA;19;26;
Bahrain;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23;NA;NA;23;20;21;
Belarus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;NA;NA;NA;15;18;11;NA;17;Was a part of the Soviet Union until 1991 when it gained independence
Bosnia and Herzegovina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;NA;NA;NA;Was a part of Yugoslavia until 1992 when it gained independence
Brazil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;24;16;19;22;19;19;21;21;13;16;16;9;18;
Bulgaria;NA;NA;NA;NA;NA;NA;NA;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
